,prize,Category,terminal,type,degree
RAD1,0.0,,False,protein,19
SEMA6A,0.0,,False,protein,7
GSTZ1,0.0,,False,protein,7
CCAR2,0.0,,False,protein,79
ZNF235,0.0,,False,protein,5
RPGR,0.0,,False,protein,15
F10,0.0,,False,protein,19
TXK,0.0,,False,protein,10
RABGAP1,0.0,,False,protein,24
TMED7-TICAM2,0.0,,False,protein,21
PGLYRP1,0.0,,False,protein,2
NRARP,0.0,,False,protein,1
FBXL7,0.0,,False,protein,6
KRT75,0.0,,False,protein,14
RGPD4,0.0,,False,protein,3
TUBA3E,0.0,,False,protein,14
FAM178B,0.0,,False,protein,2
TMEM50A,0.0,,False,protein,3
GMIP,0.0,,False,protein,2
ZFP64,0.0,,False,protein,24
NMUR1,0.0,,False,protein,2
OARD1,0.0,,False,protein,4
LARP4,0.0,,False,protein,9
LMNTD1,0.0,,False,protein,1
BCL11A,0.0,,False,protein,24
PRDX6,0.0,,False,protein,53
CCR2,0.0,,False,protein,11
PPRC1,0.0,,False,protein,4
HNRNPK,0.0,,False,protein,226
FAF1,0.0,,False,protein,98
SLFN11,0.0,,False,protein,14
EPHA10,0.0,,False,protein,4
CAPZB,0.0,,False,protein,54
MPI,0.0,,False,protein,1
KDM1B,0.0,,False,protein,7
SSR1,0.0,,False,protein,41
SMG9,0.0,,False,protein,8
CLINT1,0.0,,False,protein,36
PRM2,0.0,,False,protein,3
MMS19,0.0,,False,protein,182
PABPN1,0.0,,False,protein,28
NXNL1,0.0,,False,protein,4
SCGB1D2,0.0,,False,protein,1
PRICKLE3,0.0,,False,protein,9
DAAM1,0.0,,False,protein,15
NASP,0.0,,False,protein,41
TRPC5,0.0,,False,protein,18
RASA1,0.0,,False,protein,98
OSBPL10,0.0,,False,protein,18
ALG10,0.0,,False,protein,2
MAST1,0.0,,False,protein,36
UQCRQ,0.0,,False,protein,14
YIPF2,0.0,,False,protein,4
ARSB,0.0,,False,protein,1
ESR1,0.0,,False,protein,629
CPNE7,0.0,,False,protein,11
CDC42SE1,0.0,,False,protein,4
CLK1,0.0,,False,protein,22
GRK6,0.0,,False,protein,24
ANXA10,0.0,,False,protein,2
F2RL3,0.0,,False,protein,1
LZTS2,0.0,,False,protein,179
SIX1,0.0,,False,protein,12
RTN2,0.0,,False,protein,1
ADRA2A,0.0,,False,protein,12
WDR20,0.0,,False,protein,19
AOC3,0.0,,False,protein,4
SERPINA5,0.0,,False,protein,20
DLX6,0.0,,False,protein,2
TMOD1,0.0,,False,protein,16
VPS37B,0.0,,False,protein,23
MATN1,0.0,,False,protein,5
TLR7,0.0,,False,protein,6
VPS52,0.0,,False,protein,52
ASB11,0.0,,False,protein,13
DDAH1,0.0,,False,protein,3
VCPIP1,0.0,,False,protein,24
UBE2H,0.0,,False,protein,85
AKAP3,0.0,,False,protein,7
SRC,0.0,,False,protein,447
ATP6V1C2,0.0,,False,protein,1
BLOC1S6,0.0,,False,protein,39
STK33,0.0,,False,protein,10
SRSF2,0.0,,False,protein,96
RAB36,0.0,,False,protein,1
TMEM161A,0.0,,False,protein,2
TMEM259,0.0,,False,protein,4
FUT7,0.0,,False,protein,1
TNFAIP1,0.0,,False,protein,24
NOL8,0.0,,False,protein,4
HAPLN1,0.0,,False,protein,7
GIF,0.0,,False,protein,3
HARS,0.0,,False,protein,30
TNPO1,0.0,,False,protein,52
FYB,0.0,,False,protein,19
TNXA,0.0,,False,protein,2
CRYAB,0.0,,False,protein,71
RFC4,0.0,,False,protein,68
PROP1,0.0,,False,protein,13
ASB6,0.0,,False,protein,30
RPL22,0.0,,False,protein,103
SEMA5B,0.0,,False,protein,8
KRT4,0.0,,False,protein,17
CDT1,0.0,,False,protein,51
DNMT3A,3.761933333333333,TF,True,protein,52
NDUFB3,0.0,,False,protein,3
NACA,0.0,,False,protein,33
TAGLN3,0.0,,False,protein,1
CBX7,0.0,,False,protein,32
CRYGS,0.0,,False,protein,4
DHX40,0.0,,False,protein,14
VNN2,0.0,,False,protein,1
CPNE6,0.0,,False,protein,13
NRIP3,0.0,,False,protein,2
PRR3,0.0,,False,protein,13
ST14,0.0,,False,protein,14
CXCL13,0.0,,False,protein,9
ZBTB2,0.0,,False,protein,8
NPTX1,0.0,,False,protein,8
SACS,0.0,,False,protein,10
HKR1,0.0,,False,protein,1
SYDE1,0.0,,False,protein,1
CAMSAP3,0.0,,False,protein,7
GNA15,0.0,,False,protein,23
SULT2A1,0.0,,False,protein,6
LCP2,0.0,,False,protein,37
GRAP,0.0,,False,protein,14
GPANK1,0.0,,False,protein,11
CCNB3,0.0,,False,protein,1
IGSF5,0.0,,False,protein,3
EMILIN3,0.0,,False,protein,2
KCNC1,0.0,,False,protein,7
