name	prize	Category	Division
CRLF1	4.7833000000000006	Secreted Factors	Matrisome-associated
COMP	2.226	ECM Glycoproteins	Core matrisome
LGI4	2.4139	ECM Glycoproteins	Core matrisome
PI3	5.493	ECM Regulators	Matrisome-associated
COL20A1	2.8491	Collagens	Core matrisome
CST5	2.7560000000000002	ECM Regulators	Matrisome-associated
MMP11	2.9381	ECM Regulators	Matrisome-associated
C1QTNF6	2.3	ECM-affiliated Proteins	Matrisome-associated
ELFN2	2.9331	ECM-affiliated Proteins	Matrisome-associated
SCUBE1	2.5679000000000003	Secreted Factors	Matrisome-associated
WNT7B	2.0669	Secreted Factors	Matrisome-associated
PLXNB3	4.4117999999999995	ECM-affiliated Proteins	Matrisome-associated
MXRA5	2.1895	ECM Glycoproteins	Core matrisome
SRPX	2.0762	ECM Glycoproteins	Core matrisome
CHRDL1	2.4501999999999997	Secreted Factors	Matrisome-associated
GPC3	3.5673000000000004	ECM-affiliated Proteins	Matrisome-associated
