dc_pair,d,z,mean,sd
DB03796_richest,1.5555555555555556,0.003895804937891904,1.554888888888889,0.17112424192042314
DB03796_rich,1.5555555555555556,0.24768081568266,1.514,0.1677786607776617
DB08950_poor,2.0,0.8992078581479598,1.547,0.5037767362631982
DB08950_poorest,2.0,0.9081946477755608,1.548,0.4976906669810074
DB08950_richest,1.0,-1.3194212656314281,1.645,0.48885069295235734
DB08950_rich,2.0,0.7878912957754691,1.615,0.48864608869814974
DB02869_poor,1.0,-1.5206863606523144,1.5455,0.35871959801493986
DB02869_poorest,1.5,-0.17595752044987287,1.562,0.35235777272539337
DB02869_richest,1.5,-0.35828302415401586,1.6245,0.3474906473561555
DB02869_rich,1.5,-0.27578436636058473,1.5965,0.3499110601281417
DB00234_poor,2.0,0.5691690503808413,1.735,0.46559102225021476
DB00234_poorest,2.0,0.5915167019106975,1.712,0.48688396975049403
DB00234_richest,2.0,0.49397470709142544,1.779,0.4473913275869348
DB00234_rich,2.0,0.528811930808627,1.75,0.47275786614291254
DB00235_poor,2.0,1.1540892859173928,1.419,0.5034272539304959
DB00235_poorest,2.0,1.1375002461695747,1.43,0.5010987926547019
DB00235_richest,2.0,0.9228880336430023,1.519,0.5211899845545768
DB00235_rich,2.0,1.0329145336699035,1.474,0.5092386473943235
DB07512_poor,2.0,0.28400951876365593,1.876,0.43660508471615395
DB07512_poorest,2.0,0.34394686431387805,1.84,0.46518813398452025
DB07512_richest,2.0,0.19620068990097206,1.919,0.4128425850127383
DB07512_rich,2.0,0.28126077007221645,1.871,0.4586491033459021
DB00233_poor,1.0,-0.6610335618460856,1.1606666666666665,0.24305372062799432
DB00233_poorest,0.6666666666666666,-2.1786966984373586,1.1623333333333334,0.22750604387576168
DB00233_richest,1.0,-0.8213057270707566,1.2116666666666664,0.25771970131219
DB00233_rich,1.0,-0.6809573375668716,1.1683333333333332,0.2472009978404888
DB00230_poor,2.0,0.4323377011671168,1.8,0.46260134024881516
DB00230_poorest,2.0,0.41670274014118686,1.81,0.45596052460711994
DB00230_richest,2.0,0.35961511067946783,1.842,0.43935862345013776
DB00230_rich,2.0,0.3840237423763225,1.833,0.434868945775621
DB08486_poor,2.0,1.0412164827004353,1.455,0.5234262125648658
DB08486_poorest,2.0,1.1125345930377628,1.422,0.5195344069452957
DB08486_richest,2.0,0.9146982873994213,1.518,0.526949712970792
DB08486_rich,2.0,0.9754492272297609,1.477,0.5361632214167622
DB00239_poor,1.0,-0.31468920083401364,1.127,0.40357279392942236
DB00239_poorest,1.0,-0.3221388030257597,1.129,0.40044849856130055
DB00239_richest,1.0,-0.45486575753918884,1.199,0.4374917142072522
DB00239_rich,1.0,-0.3710207915451864,1.154,0.41507107825046063
DB03453_poor,2.0,0.9083368943943446,1.542,0.5042182067319664
DB03453_poorest,2.0,0.8650154612790156,1.572,0.49478884385159694
DB03453_richest,2.0,0.7348804978251632,1.634,0.4980401590233462
DB03453_rich,2.0,0.7995900589021112,1.61,0.4877499359302879
DB03451_poor,0.0,-4.039785424726064,0.958,0.2371413080844415
DB03451_poorest,0.0,-3.972508265291366,0.96,0.24166091947189144
DB03451_richest,0.0,-3.619351881668441,0.973,0.2688326617061253
DB03451_rich,0.0,-4.395072845846871,0.978,0.22252190903369493
DB06176_poor,0.5833333333333334,-3.840075006371498,0.9794166666666666,0.10314468667308505
DB06176_poorest,0.6666666666666666,-3.1695199350359484,0.983,0.09980480950335008
DB06176_richest,0.75,-2.618717743409425,1.025,0.10501322668015577
DB06176_rich,0.6666666666666666,-3.362511486516743,1.003,0.10002444145752022
DB03455_poor,2.0,0.9083368943943446,1.542,0.5042182067319664
DB03455_poorest,2.0,0.8650154612790156,1.572,0.49478884385159694
DB03455_richest,2.0,0.7348804978251632,1.634,0.4980401590233462
DB03455_rich,2.0,0.7995900589021112,1.61,0.4877499359302879
DB06174_poor,2.0,0.5752921709585167,1.731,0.46758849429813815
DB06174_poorest,2.0,0.5838532615238852,1.722,0.47614703611384585
DB06174_richest,2.0,0.47157598880353735,1.795,0.43471254870316317
DB06174_rich,2.0,0.5097965174206833,1.764,0.46292980029373787
DB03459_poor,1.0,-0.11296364858825049,1.021,0.18590051102673172
DB03459_poorest,1.0,-0.11517184622813074,1.024,0.20838426044209768
DB03459_richest,1.0,-0.2679764191126313,1.067,0.25002199903208516
DB03459_rich,1.0,-0.22207643579819744,1.047,0.2116388433156825
DB06267_poor,2.0,0.2916436588502267,1.877,0.4217475548239728
DB06267_poorest,2.0,0.31451973438493314,1.858,0.45148200407103717
DB06267_richest,2.0,0.24067794719582505,1.901,0.4113380604806708
DB06267_rich,2.0,0.27384266674707347,1.881,0.4345560953432825
DB08263_poor,1.0,-0.2717104328328848,1.137,0.5042132485367674
DB08263_poorest,1.0,-0.2911719589387189,1.142,0.48768432412781115
DB08263_richest,1.0,-0.3907836574680623,1.202,0.5169100502021604
DB08263_rich,1.0,-0.38176538607322963,1.196,0.5134043240955416
DB08262_poor,2.0,1.0412164827004353,1.455,0.5234262125648658
DB08262_poorest,2.0,1.1125345930377628,1.422,0.5195344069452957
DB08262_richest,2.0,0.9146982873994213,1.518,0.526949712970792
DB08262_rich,2.0,0.9754492272297609,1.477,0.5361632214167622
DB06393_poor,2.0,0.7764035198815725,1.618,0.4920121949708158
DB06393_poorest,2.0,0.8085988099159753,1.593,0.5033398454324871
DB06393_richest,2.0,0.704800298973664,1.651,0.49517572638407875
DB06393_rich,2.0,0.8092891396848874,1.587,0.5103244066277841
DB07379_poor,1.0,0.18002403805537434,0.962,0.2110829220946119
DB07379_poorest,1.0,0.18098590932583875,0.959,0.22653697269982226
DB07379_richest,1.0,0.07033799484533305,0.984,0.2274730753298069
DB07379_rich,1.0,0.15687813221623492,0.965,0.22310311517323106
DB00893_poor,1.3333333333333333,0.6790679292522175,1.1736666666666666,0.23512620724481847
DB00893_poorest,1.3333333333333333,0.6102295373789978,1.186,0.24143920329741167
DB00893_richest,1.3333333333333333,0.27225689401507697,1.2603333333333333,0.26812911483504026
DB00893_rich,1.3333333333333333,0.4520364448318442,1.2166666666666668,0.2580912844539914
DB00890_poor,1.0,0.3520535383962224,0.9155,0.24002031164049428
DB00890_poorest,0.5,-1.7402916280990643,0.9165,0.23932770420492486
DB00890_richest,1.0,0.11532910634503651,0.974,0.22544178849538965
